id;titlu;autor;gen;tip;numar_pagini_totale;status;imagine;procent;dataStart;dataFinish;scor;review
91;Auschwitz, ultima statie;Eddy de Wind;;PAPERBACK;264;NECITITA;null;0.0;;;0.0;Holocaust
92;Evadare de la Auschwitz;Joel C. Rosenberg;;PAPERBACK;0;NECITITA;null;0.0;;;0.0;Holocaust
93;Farmacistul de la Auschwitz;Patricia Posner;;PAPERBACK;304;FINALIZATA;null;1.0;2023-02-09;2023-02-16;4.0;Holocaust
94;Violonista de la Auschwitz;Ellie Midwood;;PAPERBACK;261;FINALIZATA;null;1.0;2024-02-15;2024-03-03;4.0;Holocaust
95;Cuptoarele Mortii;Olga Lengyel;;PAPERBACK;0;FINALIZATA;null;1.0;2024-02-15;2024-03-03;4.0;Holocaust
96;Orasul Semilunii. Casa Cerului si a Aerului;Sarah J. Maas;;PAPERBACK;0;FINALIZATA;null;1.0;2024-02-15;2024-03-03;4.0;smut
97;The Stolen Heir;Holly Black;YA;PAPERBACK;352;FINALIZATA;null;1.0;2024-09-16;2024-11-08;4.0;
98;Sarpe si porumbel;Shelby Mahurin;;PAPERBACK;496;FINALIZATA;null;1.0;2022-08-13;2022-08-13;5.0;Magie, vanator casatorit cu vrajitoare
99;Sange si miere;Shelby Mahurin;;PAPERBACK;528;FINALIZATA;null;1.0;2022-08-13;2022-08-16;5.0;Magie, vanator casatorit cu vrajitoare
100;Zei si demoni;Shelby Mahurin;;PAPERBACK;0;FINALIZATA;null;1.0;2022-08-13;2022-08-16;5.0;Magie, vanator casatorit cu vrajitoare
101;Instructiuni pt fete cuminti;Holly Jackson;;PAPERBACK;0;FINALIZATA;null;1.0;2022-08-13;2022-08-16;5.0;fata care rezolva crime
102;Fatra cuminte, razbunare curata;Holly Jackson;;PAPERBACK;0;FINALIZATA;null;1.0;2022-08-13;2022-08-16;5.0;fata care rezolva crime
103;As Good As Dead;Holly Jackson;;PAPERBACK;481;FINALIZATA;null;1.0;2022-11-09;2022-11-09;5.0;fata care rezolva crime
104;O supradoza de moarte;Agatha Cristine;;PAPERBACK;198;FINALIZATA;null;1.0;2022-11-10;2022-11-13;4.0;o crima rezolvata de Hercule Poirot
105;The Suspect;Fiona Barton;;PAPERBACK;469;FINALIZATA;null;1.0;2023-01-09;2023-01-14;4.0;moartea a doua fete in Tailanda
106;ABC-ul Psihopatului de Succes;Kevin Dutton;;PAPERBACK;402;FINALIZATA;null;1.0;2022-12-14;2023-07-31;4.0;
107;ABC-ul Psihopatului de Succes2;Kevin Dutton;;PAPERBACK;402;FINALIZATA;null;1.0;2026-01-24;2026-01-24;0.0;null
108;Arta Manipularii;Kevin Dutton;;PAPERBACK;0;NECITITA;null;0.0;;;0.0;
109;The Silent Patient;Alex Michaelides;;PAPERBACK;286;FINALIZATA;null;1.0;2022-11-21;2022-11-28;5.0;o tipa isi omoara sotul- ps-terapeutul e de vina
110;schimba-ti gandirea schimba-ti viata;Brian Tracy;;PAPERBACK;57;ABANDONATA;null;0.0;;;0.0;null
111;Jane Eyre;Charlotte Bronte;;PAPERBACK;648;FINALIZATA;null;1.0;2023-01-14;2023-03-27;4.0;viata unei fete si o poveste de dragoste
112;Villette;Charlotte Bronte;;PAPERBACK;451;FINALIZATA;null;1.0;2023-03-27;2023-04-27;2.0;o pofesoara cam gri
113;The Professor;Charlotte Bronte;;PAPERBACK;269;FINALIZATA;null;1.0;2023-06-03;2023-06-06;3.0;o poveste de dragoste dintre un profesor si eleva lui
114;Wuthering Heights;Emily Bronte;romance;PAPERBACK;300;FINALIZATA;null;1.0;2023-06-08;2023-08-01;4.0;
115;Agnes Grey;Anne Bronte;;PAPERBACK;233;FINALIZATA;null;1.0;2023-12-09;2023-12-16;4.0;romance
116;The Tenant od Wildfell Hall;Anne Bronte;;PAPERBACK;0;NECITITA;null;0.0;;;0.0;
117;The Fine Print;Lauren Asher;;PAPERBACK;378;FINALIZATA;null;1.0;2023-04-11;2023-04-15;4.0;poveste stas
118;Terms and Conditions;Lauren Asher;;PAPERBACK;434;FINALIZATA;null;1.0;2023-05-22;2023-05-23;4.0;se casatoreste obligat, stas
119;The Final Offer;Lauren Asher;;PAPERBACK;0;FINALIZATA;null;1.0;2023-05-22;2023-05-23;4.0;se lasa de alcool pt iubire
120;Little Women; Louisa May Alcott;;PAPERBACK;546;FINALIZATA;null;1.0;2023-05-14;2023-05-21;5.0;from girls to women
121;Peril at End House;Agatha Cristine;;PAPERBACK;114;FINALIZATA;null;1.0;2023-07-24;2023-07-24;4.0;crima
122;Girl in Pieces;Kathleen Glasgow;;PAPERBACK;418;FINALIZATA;null;1.0;2023-07-02;2023-07-02;5.0;sunicide, cutting
123;How to Make Friends With the Dark;Kathleen Glasgow;;PAPERBACK;450;FINALIZATA;null;1.0;2023-07-17;2023-07-18;4.0;lost her mom
124;You'd Be Home Now;Kathleen Glasgow;;PAPERBACK;401;FINALIZATA;null;1.0;2023-07-18;2023-07-20;4.0;drugs
125;Printre tonuri cenusii;Ruta Sepetys;;PAPERBACK;320;FINALIZATA;null;1.0;2023-08-14;2023-08-17;4.0;lagara rusesti
126;Good Wives;Louisa May Alcott;;PAPERBACK;248;FINALIZATA;null;1.0;2023-08-02;2023-08-07;4.0;
127;Kill Joy;Holly Jackson;;PAPERBACK;121;FINALIZATA;null;1.0;2023-07-26;2023-07-26;4.0;
128;Twisted Love;Ana Huang;;PAPERBACK;352;FINALIZATA;null;1.0;2023-09-03;2023-09-03;5.0;smut
