id;titlu;autor;gen;tip;numar_pagini_totale;status;imagine;procent;dataStart;dataFinish;scor;review
186;Hooked;Emily McIntire;romance;PAPERBACK;312;FINALIZATA;https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1629119366i/58545703.jpg;1.0;2025-02-03;2025-02-05;5.0;smut
187;My dark Romeo;Huntington Parker S., L.J. Shen;romance;PAPERBACK;0;FINALIZATA;;1.0;2025-02-03;2025-02-05;3.0;smut
188;Mansfield Park;Jane Austen;;PAPERBACK;0;NECITITA;;0.0;;;0.0;
189;Carnaval;Stephanie Garber;;PAPERBACK;0;FINALIZATA;;1.0;2025-02-03;2025-02-05;5.0;
190;O fereastra intunecata;Rachel Gillig;action;PAPERBACK;0;FINALIZATA;;1.0;2025-02-03;2025-02-05;5.0;
191;Doua coroane inlantuite;Rachel Gillig;action;PAPERBACK;0;FINALIZATA;;1.0;2025-02-03;2025-02-05;4.5;
192;Gallant;V. E. Schwab;horror;PAPERBACK;0;FINALIZATA;;1.0;2025-02-03;2025-02-05;4.5;
193;Bandita;Franny Billingsley;action;PAPERBACK;0;FINALIZATA;;1.0;2025-02-03;2025-02-05;3.5;
194;Cercul magic al lunii negre;Cari Thomas;;PAPERBACK;0;NECITITA;;0.0;;;0.0;
195;Hunting Adeline;H. D. Carlton;romance;PAPERBACK;0;FINALIZATA;;1.0;2025-02-03;2025-02-05;5.0;smut
196;Legendar ;Stephanie Garber;romance;PAPERBACK;0;FINALIZATA;;1.0;2025-02-03;2025-02-05;5.0;
197;Finalul;Stephanie Garber;romance;PAPERBACK;0;FINALIZATA;;1.0;2025-02-03;2025-02-05;5.0;
198;A curse of true love;Stephanie Garber;romance;PAPERBACK;0;FINALIZATA;;1.0;2025-02-03;2025-02-05;5.0;
199;The ballad of never after;Stephanie Garber;romance;PAPERBACK;0;FINALIZATA;;1.0;2025-02-03;2025-02-05;5.0;
200;Reckless;Lauren Roberts;romance;PAPERBACK;0;FINALIZATA;;1.0;2025-02-03;2025-02-05;5.0;
201;Fearless;Lauren Roberts;romance;PAPERBACK;0;FINALIZATA;;1.0;2025-02-03;2025-02-05;5.0;
202;A Fate Inked in Blood;Danielle L. Jensen;;PAPERBACK;435;ABANDONATA;;1.0;2025-09-03;;0.0;
203;Vow of thieves;Mary E. Pearson;;PAPERBACK;0;NECITITA;;0.0;;;0.0;
204;When the Moon Hatched;Sarah A. Parker;fantasy;PAPERBACK;0;NECITITA;;0.0;;;0.0;
